,model,real_forwad_time,real_calc_loss_time,real_backward_time,real_update_time,cuda_forward_time,cuda_calc_loss_time,cuda_backward_time,cuda_update_time
0,/resnet101_128_1_1_no,15909176.089487871,484610.03773584904,35382747.865768194,9826963.227493262,149.6110010769168,0.514091902585685,291.9922179353205,10.197362266396576
1,/resnet101_128_1_2_no,16031247.66522911,538704.7687331536,35273545.7277628,5185341.630188679,149.88225327566306,0.5683670074711591,292.1468814160946,5.36195322366336
2,/resnet101_128_1_3_no,16506623.391374663,575817.1153638815,35401386.17897574,3604067.961185984,150.22815826498274,0.6073711268985368,292.3354764707005,3.711905198659738
3,/resnet101_128_1_8_no,16349051.687331537,560094.4156334231,35377199.90673854,1435264.7687331536,150.3584273880704,0.5915794975834715,292.4472450276912,1.4900650740201984
4,/resnet101_128_2_1_no,15987694.302425876,565218.7159029649,35336167.38113207,10561307.985983828,149.6328730416105,0.5966071375296765,292.1826562187421,10.89843699977083
5,/resnet101_128_2_2_no,16248315.778436657,553789.5423180592,35394901.83126684,5462812.535309973,150.04093412826003,0.5843887787141568,292.30441426485373,5.6293635082644515
6,/resnet101_128_2_3_no,16037337.693261456,540494.0873315363,35311950.05822103,3596097.5407008086,150.1698868085753,0.5710530587605067,292.2218663629496,3.7256178402796265
7,/resnet101_128_2_8_no,16651222.971967654,620153.5649595688,35497369.41725067,1487861.8857142858,150.34369882753273,0.6515075269574425,292.1857580056409,1.5419255032994836
8,/resnet101_128_4_1_no,16553433.4032345,607298.2172506738,35320802.66792453,11123185.753638813,149.4633741723238,0.6410534814361614,291.7368027926134,11.417886333002878
9,/resnet101_128_4_2_no,16841971.790835578,614503.6614555256,35347971.09056604,5944081.425876011,149.7720613052903,0.6531812580447955,291.78461324275344,6.0979890353184425
10,/resnet101_128_4_3_no,15868073.910512129,530934.6010781671,35146278.96549865,3442859.953638814,150.17425631294353,0.559535232033691,291.41819023687566,3.565867888753747
11,/resnet101_128_4_8_no,16196579.94986523,574418.6264150944,35366146.99407008,1475957.4070080863,150.2952459576959,0.6049670213316328,291.79117379818325,1.5282556057890069
12,/resnet101_128_8_1_no,14902155.57735849,443187.7843665768,35086978.62533693,9397334.779514825,149.68247496406988,0.4716421345253839,292.0181262897995,9.817635438512921
13,/resnet101_128_8_2_no,15340044.858760107,467508.59784366575,35109449.23450135,4781516.596226415,150.0373045353234,0.4962649708488238,292.0326026114492,4.9995521120335455
14,/resnet101_128_8_3_no,15240946.716981132,464019.3132075472,35143094.72398922,3192796.5288409702,150.2775629706781,0.49052064986723776,292.1022550598309,3.3399610803555446
15,/resnet101_128_8_8_no,15393977.75309973,460800.7115902965,35134185.13369272,1322113.693800539,150.3523375518881,0.48651575169392997,291.95307027400344,1.3813854000920234
16,/resnet101_32_1_1_no,14553334.650162023,272362.37459494494,21492751.82670123,7330849.112508101,39.44566272604566,0.29351032541911476,79.30403666270684,7.9045481484042925
17,/resnet101_32_1_2_no,14768338.848736228,280313.6165910564,21800528.39027868,3822622.9384316267,39.79352397609669,0.3020917506725542,79.50527695107598,4.094299548425804
18,/resnet101_32_1_3_no,15243040.063253403,373990.8028515878,22543576.16941024,2691785.8009073236,40.03167602949458,0.39910480862245573,79.89675386370735,2.8497463869028716
19,/resnet101_32_1_8_no,15418612.10537913,370724.967595593,22969223.552689567,1052378.1086195724,40.22877077509348,0.3958793787699741,80.07153034914799,1.1164591216414017
20,/resnet101_32_2_1_no,15899128.143616332,439800.0314970836,23596554.637848347,8861644.929228775,39.530062507238775,0.4689408993651476,79.92099622379088,9.244625771486056
