,model,real_forwad_time,real_calc_loss_time,real_backward_time,real_update_time,cuda_forward_time,cuda_calc_loss_time,cuda_backward_time,cuda_update_time
0,/resnet18_128_1_1_fp16,8746251.05283019,166655.6204851752,9204289.556334231,2060959.4393530998,17.735561466988205,0.184811488915526,36.42751321098554,2.181630504484768
1,/resnet18_128_1_2_fp16,8392216.331536388,166687.948787062,9012402.905121293,1066576.3504043126,17.7465865723849,0.18568547710655833,36.412753254769626,1.1243552612031578
2,/resnet18_128_1_3_fp16,8445926.749865228,184030.71967654987,9480456.885175202,758594.4021563343,17.760736016635946,0.20414138661240633,36.50092372842876,0.7928562540761785
3,/resnet18_128_1_8_fp16,8655365.741778975,163227.1078167116,9220342.802695418,276294.4706199461,17.73111275829716,0.1819887611462742,36.43531006969853,0.30017436996524066
4,/resnet18_128_2_1_fp16,6533687.709973046,193893.83396226415,9332193.079245282,2432964.097574124,16.843559175681555,0.21408953946234402,34.9727836218163,2.5251783778403967
5,/resnet18_128_2_2_fp16,6282117.399460916,181289.43288409704,9082644.625336926,1150243.366037736,16.851594123943155,0.2009688149806303,34.93640713961619,1.203457951603578
6,/resnet18_128_2_3_fp16,6379057.173045822,190923.38113207548,9117627.108355796,805607.0194070081,16.894331685809114,0.21081927783405685,35.020525070149304,0.8398908037360948
7,/resnet18_128_2_8_fp16,6181890.122371968,192233.41886792454,9119390.510512128,309687.24258760107,16.8891645909641,0.21225724222284123,35.032206199625435,0.33318993429630755
8,/resnet18_128_4_1_fp16,4115416.446361186,239591.70080862535,9223070.204851752,3379651.2123989216,17.37899585322871,0.26227501887436505,35.976458017395515,3.4366847650060115
9,/resnet18_128_4_2_fp16,4065820.210781671,224180.73153638814,9059124.134770889,1618702.1730458222,17.40985676696037,0.24606388781992894,35.94248707712178,1.6569336922101254
10,/resnet18_128_4_3_fp16,4105204.3185983826,226498.06684636118,8929320.72722372,1123061.7428571428,17.4468176875153,0.24810238245201882,35.95216775673098,1.1517878312013186
11,/resnet18_128_4_8_fp16,3853465.2,203012.5703504043,9099715.787601078,384106.0086253369,17.449906016552866,0.22400791793258365,36.019952872757,0.4040359688942845
12,/resnet18_128_8_1_fp16,3916334.7687331536,232054.86846361187,9076562.642048517,3347633.497574124,17.35482543009632,0.25462305124879203,35.8341292121661,3.413227021533524
13,/resnet18_128_8_2_fp16,3875749.77574124,208537.52129380053,8808328.739622641,1621710.3142857142,17.42672187671507,0.22994623839292885,35.9083143794633,1.6687210452951229
14,/resnet18_128_8_3_fp16,4003092.899191375,217907.38867924528,8720983.86361186,1011913.2420485176,17.449067187245003,0.23882930029755975,35.96616949610954,1.0414512824056283
15,/resnet18_128_8_8_fp16,3930092.829110512,207812.49649595688,8864138.658221025,386959.4916442048,17.466254305775276,0.2295836980291454,36.02736814658275,0.40702326738368466
16,/resnet18_256_1_1_fp16,8793412.175,173556.53181818183,9287802.68068182,2088546.7295454545,33.35144914605401,0.1932068728333847,67.9527292359959,2.2008983956141903
17,/resnet18_256_1_2_fp16,8722678.780681819,170873.49545454545,9865008.148863636,1061124.509090909,33.29716582623395,0.19047014560889114,67.9272376645695,1.1205357439435002
18,/resnet18_256_1_3_fp16,8871400.332954545,180392.50454545455,9454289.413636364,727162.9545454546,33.37690593654459,0.20069985463368623,67.92205201062289,0.7666619264499538
19,/resnet18_256_1_8_fp16,9233161.185227273,187351.16363636364,9861556.965909092,305830.3386363636,33.41129563071511,0.20823690903965722,67.97512703158638,0.32684239945374427
20,/resnet18_256_2_1_fp16,6681023.3375,202765.79545454544,9568595.129545454,2361399.4204545454,33.80434978658503,0.22331192744049158,68.27749460393733,2.4589142181656576
21,/resnet18_256_2_2_fp16,6729571.595454546,190426.8306818182,9396574.588636363,1125218.8556818182,33.759825419295915,0.21033392730592326,68.0665973294865,1.175041088478809
22,/resnet18_256_2_3_fp16,6520084.222727273,193483.88068181818,9412333.198863637,792652.1590909091,33.777275650067764,0.2139038544317538,68.10409382473338,0.8323628721631725
23,/resnet18_256_2_8_fp16,6407828.468181818,195071.82954545456,9371853.943181818,332907.04204545455,33.757869684696196,0.21530454588038,67.96873252175071,0.35469989057376305
24,/resnet18_256_4_1_fp16,3868926.0579545456,213420.075,9578209.379545454,3131958.154545455,34.733683909069406,0.2363732727329162,68.69549897367304,3.2058457431468095
25,/resnet18_256_4_2_fp16,3826514.9136363636,205834.6965909091,9576116.5375,1576624.9431818181,34.82090043371374,0.22826970888471063,68.68845065290277,1.6212163281309504
26,/resnet18_256_4_3_fp16,3985566.345454545,224217.77159090908,9454169.731818182,1050274.3329545455,34.83693368001418,0.24673272779380734,68.68411450386047,1.0811295990578154
27,/resnet18_256_4_8_fp16,4092496.4363636365,223590.47272727272,9500176.32159091,485235.52045454545,34.83121616623618,0.24621207261119377,68.64751022295518,0.5054778890663081
28,/resnet18_256_8_1_fp16,3958493.723863636,220302.87954545455,9595568.747727273,3387089.842045455,34.72683932022615,0.24352254527197642,68.7006317095323,3.4595542122017253
29,/resnet18_256_8_2_fp16,3947052.139772727,201587.7375,9391373.769318182,1684854.5488636363,34.784884402968665,0.22362389038740235,68.63775510354476,1.7272771667596483
30,/resnet18_256_8_3_fp16,4078020.852272727,226227.88522727272,9599469.142045455,1058133.3272727274,34.83680278713053,0.24906389079988003,68.69288224090229,1.0896968741964719
31,/resnet18_256_8_8_fp16,4026620.8625,230287.05454545454,9632376.942045454,461580.1295454545,34.83080372268503,0.2527187997898595,68.66351230794733,0.4813458550975404
32,/resnet18_32_1_1_fp16,6528741.918211277,178028.03370058327,7862199.980946208,3190609.0469215815,7.115949242623379,0.20393502917563228,11.741636578849748,3.2532094080496052
33,/resnet18_32_1_2_fp16,6828208.41477641,178538.51639662994,7845117.635904083,1644415.295787427,7.264120458583127,0.2044337273880173,11.72974002668785,1.6883432580548026
34,/resnet18_32_1_3_fp16,6717635.308619572,175152.55502268308,7783941.592741413,1068222.2635126377,7.152640722822386,0.20071262722944797,11.68870583594193,1.1051006336771894
35,/resnet18_32_1_8_fp16,7242370.091121192,185039.98185353208,7937930.7753726505,430234.7246921581,7.512884164119184,0.21187648355613184,11.78130052106688,0.45815141573321977
36,/resnet18_32_2_1_fp16,5037873.0741412835,166998.09475048605,7478092.683214517,3195453.158651977,5.77669365240704,0.18888405845563905,11.033882937119213,3.2523717231898823
37,/resnet18_32_2_2_fp16,5648006.982760856,167848.2365521711,7484416.958263123,1647028.6401814646,6.127115896129793,0.19059357607009267,11.018864809717362,1.6866810660732021
38,/resnet18_32_2_3_fp16,5920281.299805573,169800.9283214517,7502046.833441348,1142871.7350615684,6.310478799279758,0.19320979474386415,11.019583348059763,1.1765930968509686
39,/resnet18_32_2_8_fp16,6159528.293065457,175648.51198963058,7664872.279066753,433449.51276733633,6.463008369846307,0.19908339376485895,11.131067961682303,0.45988961116736576
40,/resnet18_32_4_1_fp16,4408805.771613739,171295.37316915102,7878385.109397278,3477960.6664938433,5.177061434342192,0.19151055957694682,11.260633047231202,3.532803040128672
41,/resnet18_32_4_2_fp16,4871582.849125081,169636.00764744004,7658242.400129617,1752483.0027219702,5.491668771878513,0.19167065925398818,11.239548572718286,1.7919436317173811
42,/resnet18_32_4_3_fp16,5228184.7617628,180414.68243681142,7817345.903694103,1228458.3889825016,5.6852025095704155,0.20232668820809638,11.331681082670517,1.2621501882845894
