,model,real_forwad_time,real_calc_loss_time,real_backward_time,real_update_time,cuda_forward_time,cuda_calc_loss_time,cuda_backward_time,cuda_update_time
0,/resnet101_128_1_1_fp16,15354617.955256065,432053.39083557954,31611992.326145552,9730809.279784366,82.35507769726036,0.464109059007502,155.3457397173036,10.111058178616341
1,/resnet101_128_1_2_fp16,15646398.74070081,449764.00700808625,31719606.87708895,4975066.424797843,82.5711115340981,0.4810943138848418,155.60108278176855,5.152860765852978
2,/resnet101_128_1_3_fp16,15126302.226415094,433125.64797843667,31606886.53800539,3269541.6797843664,82.57694371061505,0.4657925692088199,155.3672128517994,3.4007751306062035
3,/resnet101_128_1_8_fp16,15818550.914285714,452746.74177897576,31751494.62857143,1347480.2846361187,82.75641423145716,0.48618162408511273,155.6969504220145,1.3956798952976568
4,/resnet101_128_2_1_fp16,16215809.436118599,466909.8140161725,31553742.85013477,10332325.447978437,82.22960084159419,0.49858692809336913,155.16310906834357,10.61276542092912
5,/resnet101_128_2_2_fp16,16402711.714824798,468559.6167115903,31691811.244743936,5129126.03018868,82.61495468263035,0.5022721208290591,155.64150757494,5.275452806667055
6,/resnet101_128_2_3_fp16,16287125.8032345,500600.99191374663,31717557.269541778,3539741.2490566038,82.67246943882533,0.533829572559849,155.669023901433,3.631918579790455
7,/resnet101_128_2_8_fp16,16082996.47115903,472083.54824797844,31825857.352560647,1377168.003773585,82.72301817531535,0.5056901006766086,155.68770802541565,1.4204235034299426
8,/resnet101_128_4_1_fp16,15219979.36819407,445795.3396226415,31600061.334231805,9841107.443665769,82.40083395862837,0.47492250556332083,155.53670549829693,10.255670874459403
9,/resnet101_128_4_2_fp16,15346092.064150942,444502.35040431266,31633660.535849057,4942548.427493261,82.61686504394861,0.4751993448024169,155.63639862800866,5.152016789566555
10,/resnet101_128_4_3_fp16,14816184.236657683,423106.0409703504,31583704.612938005,3191486.0867924527,82.61550272815633,0.4539397690977369,155.5401233683378,3.3447559757640137
11,/resnet101_128_4_8_fp16,14909059.759568732,429096.88140161725,31180399.887331538,1251898.4668463613,82.35656977650933,0.4596068225218601,154.38304643656687,1.317176655953376
12,/resnet101_128_8_1_fp16,14441644.470080862,425044.37196765497,31033232.62695418,9254437.525067385,81.90317029721653,0.4534688945447981,153.91456617987703,9.750227728172776
13,/resnet101_128_8_2_fp16,14675668.04528302,419444.64420485176,31148087.480862536,4715043.674393531,82.08930337499737,0.4488776623881409,154.02206756920828,4.964970001782167
14,/resnet101_128_8_3_fp16,14859302.505660377,424510.5805929919,31119273.181132074,3254513.8312668465,82.17692380427029,0.45489876844651617,154.0645711153344,3.4144305919068603
15,/resnet101_128_8_8_fp16,15151008.210781671,422629.1601078167,31036769.92884097,1263215.187601078,82.2224543589466,0.45361376591528846,153.90930074604373,1.321478486292609
16,/resnet101_256_1_1_fp16,16350091.082954545,456761.5215909091,65889450.77159091,10185295.05568182,167.30945555080066,0.4884821096181192,311.3050822604786,10.514394420927221
17,/resnet101_256_1_2_fp16,15840364.882954545,451076.7772727273,65961285.85454545,4900309.346590909,167.64725262035023,0.48394429104571995,311.5893210584467,5.071566182607785
18,/resnet101_256_1_3_fp16,16054346.25909091,448810.69431818184,65926179.976136364,3400164.0113636362,167.71397477063266,0.48166298144920305,311.5029268351468,3.5165634876244107
19,/resnet101_256_1_8_fp16,15516233.673863636,438504.1647727273,66081521.851136364,1261035.8727272728,167.86040654615923,0.4702734908427704,311.73721089796584,1.3125796724809333
20,/resnet101_256_2_1_fp16,16018561.792045455,464125.37386363634,66125288.163636364,10103785.469318181,167.48395463336598,0.4957108002748679,311.9551112261685,10.427918503501198
21,/resnet101_256_2_2_fp16,16003431.64090909,487023.1534090909,66217802.71818182,5195799.118181818,167.90630494898016,0.5207200734960762,312.2234258911826,5.353027095304887
22,/resnet101_256_2_3_fp16,15742615.520454545,463318.21136363636,66070847.117045455,3359155.040909091,167.7078627803109,0.4971046185967597,311.69606077887795,3.4800751258513296
23,/resnet101_256_2_8_fp16,15757787.45,459397.88295454544,66109591.26136363,1345946.725,167.8131895195354,0.4928704724562439,311.64999115683815,1.3947055593704467
24,/resnet101_256_4_1_fp16,14713546.88181818,416311.35795454547,65184227.27272727,9161041.427272728,166.60498784672131,0.4451098184185949,309.410884068229,9.645614769242027
25,/resnet101_256_4_2_fp16,15141404.471590908,427040.01931818185,65128847.44659091,4717673.797727273,166.7084330992265,0.45788258218460465,309.31585247733375,4.9534697114930495
26,/resnet101_256_4_3_fp16,14789900.267045455,435054.8090909091,65088555.217045456,3208244.775,166.887366437912,0.46633578108792956,309.23365234895186,3.373042949634096
27,/resnet101_256_4_8_fp16,15058047.547727272,456309.49204545456,65243010.18863636,1248471.275,167.04449201063676,0.48772261881015516,309.58951196670535,1.3112697114892813
28,/resnet101_256_8_1_fp16,14970692.411363637,435583.2840909091,65210473.16022728,9361400.86818182,166.48734599026767,0.464665636183186,309.1142053257335,9.839295607263391
29,/resnet101_256_8_2_fp16,14835530.301136363,436049.07727272727,65191452.11590909,4753068.9125,166.6541340307756,0.4658855265345086,309.13085272528906,4.994676215025935
30,/resnet101_256_8_3_fp16,15080141.197727272,435357.56022727274,65118742.37954546,3165663.875,166.79706270477988,0.46599567277695647,309.12684724981136,3.335930221320384
31,/resnet101_256_8_8_fp16,15021914.23409091,429377.25113636366,65201041.89090909,1218908.7011363637,166.99705972238021,0.4596733453768221,309.35323120463977,1.2835409843839112
32,/resnet101_32_1_1_fp16,15297584.182760855,399203.6684381076,21316936.613480233,9658700.87815943,22.958483306850155,0.42723701035269496,44.28531057391164,10.001151319640995
33,/resnet101_32_1_2_fp16,15813154.815683734,404194.7504860661,21876485.701231368,4839460.252106287,23.309890390694026,0.4323396437164645,44.819507028032106,4.979508992624472
34,/resnet101_32_1_3_fp16,16619032.621516526,416117.02786779,22317378.28632534,3339277.9650032404,23.444484353328168,0.44498943632790894,44.83725115367521,3.4514397642615644
35,/resnet101_32_1_8_fp16,15887848.13545042,400384.26610499027,21457424.247958522,1222450.5113415425,23.55022399343613,0.42916108754089877,44.75536418403037,1.2723597432215856
36,/resnet101_32_2_1_fp16,15473601.179909268,406263.78418664937,21815449.86558652,9678207.148412185,23.033156770000346,0.43525761233585963,44.627900381329304,10.012952949687095
37,/resnet101_32_2_2_fp16,15852944.541153597,405933.5123784835,21734258.704471808,4878011.139468567,23.295330451203878,0.43572009640298565,44.75498191798884,5.021011695845998
38,/resnet101_32_2_3_fp16,16393875.933765393,433274.4342190538,22341165.623460792,3398036.510563837,23.404824241445347,0.4642026431940626,44.7678656968063,3.4806103243404496
39,/resnet101_32_2_8_fp16,16750633.866882697,440995.87478937133,22204207.291639663,1282357.939079715,23.526254701398056,0.4715346168347635,44.693493084465615,1.322367396342133
