,model,real_forwad_time,real_calc_loss_time,real_backward_time,real_update_time,cuda_forward_time,cuda_calc_loss_time,cuda_backward_time,cuda_update_time
0,/resnet18_128_1_1_no,5584589.908355795,188821.77412398922,7090491.399460916,1923909.098652291,26.747129713814214,0.21064901355543547,61.65158108199703,2.0523688352332923
1,/resnet18_128_1_2_no,5633189.994609164,175032.08032345012,7332191.251752022,971619.5234501348,26.79405181247269,0.19636069423345864,61.69327020156737,1.041865764472965
2,/resnet18_128_1_3_no,5580930.476010782,175010.61509433962,7312595.122911051,655779.5746630728,26.793643521619934,0.19640545975567517,61.67929531416161,0.7069939589710289
3,/resnet18_128_1_8_no,5777847.60754717,178902.14663072777,7350959.431266846,264755.0086253369,26.746996359812282,0.19963097366280955,61.667697149724006,0.29093949782167566
4,/resnet18_128_2_1_no,3725575.850134771,265456.23665768193,7734733.428032345,2552380.038814016,28.518667070949174,0.291820075505506,63.59840774947421,2.6524605414295452
5,/resnet18_128_2_2_no,4031133.376819407,291285.92722371966,7729603.313207547,1248485.5234501348,28.583066715127373,0.31903539374671536,63.60899630029889,1.299727456376579
6,/resnet18_128_2_3_no,4533684.458760108,299863.76334231807,7813604.7229110515,1127030.3142857142,28.64396378344924,0.32821452921693217,63.68729266966128,1.1602909666599048
7,/resnet18_128_2_8_no,4074862.4221024257,247199.17843665768,7579818.437196765,433637.46469002694,28.682761616462646,0.2733168990343729,63.630291100268096,0.45631035641839884
8,/resnet18_128_4_1_no,3762438.705660377,255341.88894878706,7365277.196765498,2869846.7935309974,28.538039025977614,0.2816528562667235,63.549198226723064,2.9510057387004967
9,/resnet18_128_4_2_no,4040795.329380054,283659.3725067385,7564197.654447439,1566851.4991913748,28.649851486946375,0.31203432885623683,63.65726274145903,1.6073488407810985
10,/resnet18_128_4_3_no,4250750.476549866,308512.2458221024,7636359.842048517,1089569.330458221,28.68386810899102,0.340398369837964,63.65479186024627,1.1231048953250011
11,/resnet18_128_4_8_no,4197708.791374663,293344.52291105123,7625558.73800539,465340.38921832887,28.726829723142227,0.32248399312685766,63.67712380751124,0.488224828287939
12,/resnet18_128_8_1_no,3758875.423180593,256110.92884097036,7318611.899730458,3017625.85606469,28.52865029820856,0.28219400941923944,63.51303719780194,3.0943181803284308
13,/resnet18_128_8_2_no,4020528.0884097037,267553.73530997307,7317511.807008087,1550979.5876010782,28.585088104700464,0.29535604988468306,63.44183951735175,1.594791297297272
14,/resnet18_128_8_3_no,4104518.095956873,288297.79784366576,7536686.906199461,976992.3315363881,28.646136905433675,0.3159866304892414,63.58467054547004,1.0120037439884242
15,/resnet18_128_8_8_no,4173654.1396226417,263383.73800539086,7537666.42425876,407079.64420485176,28.692206676308356,0.29079679998185115,63.60671853325116,0.43171962522813734
16,/resnet18_256_1_1_no,6097501.296590909,228287.21818181817,7626900.023863636,2064975.4738636364,55.25892245769501,0.25196938200599767,120.73467438437721,2.166079491376877
17,/resnet18_256_1_2_no,6105510.443181818,194952.4465909091,7398588.532954546,975778.6943181818,55.1943353804675,0.21810887245969338,120.62814535227689,1.0383526527619158
18,/resnet18_256_1_3_no,6257426.423863636,198825.3590909091,7295690.484090909,674459.5227272727,55.18932017629797,0.223288872922686,120.54202684489164,0.7214595633050935
19,/resnet18_256_1_8_no,6207711.296590909,192301.025,7335263.964772727,265003.0125,55.16877251538364,0.21551450924439863,120.49291863874956,0.29143148997311735
20,/resnet18_256_2_1_no,3946138.328409091,280808.0284090909,7688000.6238636365,3373574.815909091,57.02757520242171,0.30768698210066014,123.71301647099581,3.437719201906161
21,/resnet18_256_2_2_no,4208420.465909091,287973.2215909091,7835067.2625,1718792.1136363635,57.027194274555555,0.31550618222152643,123.60674503066323,1.7600626219212163
22,/resnet18_256_2_3_no,3998765.4977272726,293525.6840909091,7869999.461363636,1131422.0318181817,57.18791254650463,0.32221916362812575,123.8118571584875,1.1653364716902037
23,/resnet18_256_2_8_no,4015836.6079545454,299579.9727272727,7825742.286363636,425513.5352272727,57.2024759162556,0.3287955996495756,123.81755717450922,0.4489757446000691
24,/resnet18_256_4_1_no,3854931.213636364,269223.4125,7558325.0227272725,3199668.734090909,57.148759722709656,0.299375127306716,123.87133093313737,3.2694339233365928
25,/resnet18_256_4_2_no,4016069.1295454544,314194.02045454545,7609900.909090909,1718457.9772727273,57.10646136674014,0.3438409818082371,123.68898999907753,1.7574100725395096
26,/resnet18_256_4_3_no,3949073.8238636362,273048.2852272727,7378485.882954545,1148134.625,57.248814517801456,0.30135978241027755,123.82384226972407,1.1817919627509335
27,/resnet18_256_4_8_no,4153552.3102272726,302325.78863636364,7348513.546590909,467062.73863636365,57.19351088567213,0.3310446541163732,123.69198696830055,0.49093854677524756
28,/resnet18_256_8_1_no,4016073.3147727274,304417.88522727275,8256811.653409091,3259629.340909091,57.07315638065338,0.33237512728030033,123.88998001705517,3.3220153826204215
29,/resnet18_256_8_2_no,3826244.3840909093,271565.7443181818,7347406.043181818,1446724.856818182,57.09275423613462,0.29870014500550246,123.4947982527993,1.4925795615566049
30,/resnet18_256_8_3_no,3982483.8181818184,277375.01590909093,7528407.125,1061069.5579545454,57.14847186261957,0.306168399954384,123.64928509538824,1.0947790168098768
31,/resnet18_256_8_8_no,4074185.8068181816,272370.7443181818,7348617.913636364,426201.47613636364,57.151795933463355,0.3016268728808923,123.56288669759577,0.45147843588757414
32,/resnet18_32_1_1_no,5070970.406221646,135915.73765392092,6185997.370058328,1999942.025793908,7.791324465350524,0.16657773969490963,17.046774743921326,2.139547165353346
33,/resnet18_32_1_2_no,4688542.268956578,130852.64160725859,6220708.307064161,1058163.6382372002,7.824875839700655,0.15846361810617918,17.112655830877753,1.1311730146377903
34,/resnet18_32_1_3_no,4255457.4948801035,116766.64445884641,6093317.259235256,704284.3020090732,7.785328904854657,0.1419268976894587,17.005608105489518,0.7608988490302118
35,/resnet18_32_1_8_no,4349087.144912508,118215.36007777057,6097301.461827609,271531.9913156189,7.817562555942301,0.14347315105577607,17.0553055528998,0.30472250300533804
36,/resnet18_32_2_1_no,3515321.411795204,192363.81309138043,6833472.003370059,3097291.623331173,8.043744375113922,0.21493279273855323,17.814845500236505,3.195478164523898
37,/resnet18_32_2_2_no,3708428.7499675956,174629.70537913157,6846154.416850291,1529071.6609202852,8.10526903125271,0.19701827208928605,17.90758857566354,1.5868426080618105
38,/resnet18_32_2_3_no,4328721.75463383,246827.71458198316,7263800.3379131565,1027087.365521711,8.336537031530948,0.27157120015701536,18.17017773364321,1.069971469251713
